"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","402.8058871662602","370.75303550549","4.65564519928572","-0.3110632460863657","0.0022999999999999687","0.0021999999999999797","0.0024","1244.4444444444443","0.00013606148193324893","0","0.00013606148193324893","0.00013606148193324893","0_1:0.0036667816825778354;0_14:0.00808321897509967","0_1:561.7777777777777;0_14:561.7777777777777","true"
"1","377.0465297670141","195.7085885612283","4.5349634951573865","-0.31302980539784336","0.0035000000000000586","0.0040000000000000036","0.003","1244.4444444444443","0.0001759685475749875","0","0.0001759685475749875","0.0001759685475749875","1_2:0.008317822899113675","1_2:561.7777777777777","true"
"2","269.688807931557","127.8448016377777","4.680131247034423","-0.3092563684570482","0.006299999999999972","0.010199999999999987","0.0024","1244.4444444444443","0.00024480024153947927","0","0.00024480024153947927","0.00024480024153947927","2_3:0.008685892309246185","2_3:561.7777777777777","true"
"3","327.82888596883777","152.13412067918298","4.606641000911532","-0.25135835423971303","0.008099999999999996","0.0114","0.0048000000000000265","1244.4444444444443","0.00022213155015450648","0","0.00022213155015450648","0.00022213155015450648","","","true"
"4","264.2587873741042","185.43280410056767","4.462282363160145","-0.25507850560311957","0.013299999999999979","0.01759999999999995","0.009","1244.4444444444443","0.000530048418477289","0","0.000530048418477289","0.000530048418477289","4_3:0.01634443694627477;4_15:0.01287002953369551","4_3:561.7777777777777;4_15:561.7777777777777","true"
"5","365.1499902423068","358.35941798411557","4.4266919885135945","-0.2804432142711162","0.005400000000000071","0.0056","0.005199999999999982","1244.4444444444443","0.0002219283424292453","0","0.0002219283424292453","0.0002219283424292453","5_4:0.007897992667595388","5_4:561.7777777777777","true"
"6","368.5652135825769","195.37382005351688","4.64008805911549","-0.3108103399516748","0.0017000000000000348","0.0023999999999999577","0.001","1244.4444444444443","0.0001141177908163506","0","0.0001141177908163506","0.0001141177908163506","6_5:0.005466463481613615","6_5:561.7777777777777","true"
"7","406.0984446112562","42.946157699469495","4.47569876221398","-0.2813271220492828","0.010000000000000009","0.0188","0.0011999999999999789","1244.4444444444443","0.0022689984695333115","0","0.0022689984695333115","0.0022689984695333115","7_8:0.005176080176013759;7_6:0.016533526181455677","7_8:561.7777777777777;7_6:561.7777777777777","true"
"8","326.7265643438059","296.45626530764844","4.401838683300943","-0.25507427876459826","0.01089999999999991","0.015599999999999947","0.0062","1244.4444444444443","0.0003575209518760675","0","0.0003575209518760675","0.0003575209518760675","8_9:0.025323639096975464","8_9:561.7777777777777","true"
"9","512.070522945798","336.5619247379399","4.519006928328002","-0.29730654926594685","0.010700000000000043","0.010600000000000054","0.0108","1244.4444444444443","0.0001595334198164267","0","0.0001595334198164267","0.0001595334198164267","","","true"
"10","224.895821086242","55.071289868607735","4.628367585037087","0","0.006199999999999983","0.0092","0.0031999999999999806","1244.4444444444443","0.000529800080246229","0","0.000529800080246229","0.000529800080246229","10_11:0.014961646339735457;10_9:0.008310875996921208","10_11:561.7777777777777;10_9:561.7777777777777","true"
"11","138.54431804306742","119.71953984795799","4.571527079154423","-0.31187801080194943","0.021499999999999964","0.0264","0.016599999999999948","1244.4444444444443","0.0009353820220887608","0","0.0009353820220887608","0.0009353820220887608","11_12:0.011408288884231177","11_12:561.7777777777777","true"
"12","496.75892552760604","287.93207634657307","4.464320567420996","-0.3114335997689411","0.011800000000000033","0.0134","0.010199999999999987","1244.4444444444443","0.00017732335016238274","0","0.00017732335016238274","0.00017732335016238274","","","true"
"13","176.52327534354876","72.12192016999721","4.573366940960361","0","0.013700000000000045","0.019000000000000017","0.0084","1244.4444444444443","0.00027188319686147905","0","0.00027188319686147905","0.00027188319686147905","13_12:0.012549234906177237","13_12:561.7777777777777","true"
"14","336.15316043682753","401.2465212330272","4.6039840739662345","-0.3075149117337717","0.006199999999999983","0.005199999999999982","0.0072","1244.4444444444443","0.00012840257376510366","0","0.00012840257376510366","0.00012840257376510366","14_18:0.006664971217117399","14_18:561.7777777777777","true"
"15","451.22521883304046","73.74579744948791","4.495950668221373","-0.3235838974181829","0.020000000000000018","0.014000000000000012","0.026","1244.4444444444443","0.0008407918826185716","0","0.0008407918826185716","0.0008407918826185716","","","true"
"16","411.31852244596337","141.3093313631832","4.5132320674907715","-0.31250997509736017","0.006099999999999994","0.00880000000000003","0.0034","1244.4444444444443","0.00011293611485678293","0","0.00011293611485678293","0.00011293611485678293","16_8:0.00838067137718887","16_8:561.7777777777777","true"
"17","401.7138860986073","62.483555568465704","4.675802066136797","-0.3222371456169295","0.06159999999999999","0.0468","0.07640000000000002","1244.4444444444443","0.000702260869077221","0","0.000702260869077221","0.000702260869077221","17_12:0.012237112869729422;17_30:0.012874011924444956","17_12:561.7777777777777;17_30:561.7777777777777","true"
"18","273.99372647295417","55.05954663896922","4.514775751441474","-0.32147907217387134","0.009099999999999997","0.0104","0.007800000000000029","1244.4444444444443","0.00012026359778471478","0","0.00012026359778471478","0.00012026359778471478","","","true"
"19","323.1482527465578","198.02241216756508","4.444135986797045","-0.3142519677447134","0.025600000000000067","0.02839999999999998","0.0228","1244.4444444444443","0.0007306822436844488","0","0.0007306822436844488","0.0007306822436844488","19_18:0.008563380024239176","19_18:561.7777777777777","true"
"20","174.26465524259703","218.65911215785096","4.341292712044648","-0.31659680563840864","0.06919999999999993","0.1038","0.0346","1244.4444444444443","0.00026434039413898486","0","0.00026434039413898486","0.00026434039413898486","20_19:0.012885111992236353","20_19:561.7777777777777","true"
"21","151.58023634267414","77.52183859264377","4.485182199984683","-0.3137510643214938","0.01849999999999996","0.0252","0.011800000000000033","1244.4444444444443","0.0023555164225645144","0","0.0023555164225645144","0.0023555164225645144","21_22:0.011341902215520339;21_20:0.01617912081693254","21_22:561.7777777777777;21_20:561.7777777777777","true"
"22","248.95297691078406","32.929115976875394","4.382948743909371","-0.3235699465364606","0.006599999999999939","0.0082","0.0050000000000000044","1244.4444444444443","0.0003396037325819665","0","0.0003396037325819665","0.0003396037325819665","22_23:0.006711358034569015;22_15:0.01579574795048233","22_23:561.7777777777777;22_15:561.7777777777777","true"
"23","383.91541021215016","167.4717541934799","4.5317715955085855","-0.34910557092715694","0.007900000000000018","0.006800000000000028","0.009","1244.4444444444443","0.00006967297500294057","0","0.00006967297500294057","0.00006967297500294057","23_24:0.0193375759962994","23_24:561.7777777777777","true"
"24","281.5553183297236","84.63465980734894","4.646177988876971","-0.3098937587669715","0.0018000000000000238","0.0030000000000000027","0.0006","1244.4444444444443","0.0003034337743970402","0","0.0003034337743970402","0.0003034337743970402","24_25:0.006459953455183659","24_25:561.7777777777777","true"
"25","269.86366716498844","397.82731241276906","4.702188507213743","-0.3104687819443247","0.009099999999999997","0.011399999999999966","0.0068","1244.4444444444443","0.00013609854236020316","0","0.00013609854236020316","0.00013609854236020316","","","true"
"26","220.48232853570494","114.7210593650515","4.648807706240189","0","0.006299999999999972","0.008199999999999985","0.0044","1244.4444444444443","0.00042979622293043147","0","0.00042979622293043147","0.00042979622293043147","26_16:0.00690106950781344;26_27:0.010590322101339394;26_25:0.011491206079320249","26_16:561.7777777777777;26_27:561.7777777777777;26_25:561.7777777777777","true"
"27","336.6643761306334","71.1268815998281","4.610077710397503","-0.2878947957747321","0.03739999999999999","0.0272","0.047599999999999976","1244.4444444444443","0.00034317512818656085","0","0.00034317512818656085","0.00034317512818656085","","","true"
"28","142.41959744508927","13.780952051595607","4.516884060531265","-0.31512500613226163","0.006399999999999961","0.00880000000000003","0.004","1244.4444444444443","0.0004361074445235144","0","0.0004361074445235144","0.0004361074445235144","28_27:0.011941450886288812","28_27:561.7777777777777","true"
"29","277.07364262705954","205.89553260158758","4.460019055932028","-0.3164470706353105","0.016199999999999992","0.0156","0.016800000000000037","1244.4444444444443","0.00012334719168144792","0","0.00012334719168144792","0.00012334719168144792","29_30:0.015450751826670911;29_28:0.0123707851585593","29_30:561.7777777777777;29_28:561.7777777777777","true"
"30","255.09703106759505","110.75849661502514","4.646609693784957","-0.2835614267270895","0.06600000000000006","0.06579999999999997","0.0662","1244.4444444444443","0.0009752571224643687","0","0.0009752571224643687","0.0009752571224643687","","","true"
"31","285.6372749059765","168.80662920003905","4.61300715009291","-0.3112675880038357","0.028299999999999992","0.03700000000000003","0.0196","1244.4444444444443","0.0004084448255497267","0","0.0004084448255497267","0.0004084448255497267","31_30:0.013051922006634492;31_32:0.011630604634740693","31_30:561.7777777777777;31_32:561.7777777777777","true"
"32","122.08410927313048","40.42166721266741","4.499278553643956","-0.3128171150093984","0.02089999999999992","0.022399999999999975","0.0194","1244.4444444444443","0.00020395750464078768","0","0.00020395750464078768","0.00020395750464078768","","","true"
"33","455.6090268413211","222.8043756676523","4.596925214958295","0","0.0018000000000000238","0.0028000000000000247","0.0008","1244.4444444444443","0.00014195089259708648","0","0.00014195089259708648","0.00014195089259708648","33_20:0.00882244588764447;33_39:0.015046305825956285","33_20:561.7777777777777;33_39:561.7777777777777","true"
"34","374.12944500365836","127.40460848694251","4.561963150172591","0","0.0040000000000000036","0.007399999999999962","0.0006","1244.4444444444443","0.00031399605291882517","0","0.00031399605291882517","0.00031399605291882517","34_24:0.015556363562465675","34_24:561.7777777777777","true"
"35","290.6389988910166","118.61154603796868","4.721875144794027","-0.30795810239191124","0.005700000000000038","0.006399999999999961","0.005","1244.4444444444443","0.0005519615631501296","0","0.0005519615631501296","0.0005519615631501296","35_47:0.0139261405104818;35_28:0.023945948214952495","35_47:561.7777777777777;35_28:561.7777777777777","true"
"36","362.0325293673596","197.26351582757673","4.608019829599529","-0.31164624269239977","0.010299999999999976","0.01100000000000001","0.0096","1244.4444444444443","0.00015968298594098849","0","0.00015968298594098849","0.00015968298594098849","36_32:0.0068857023379867155;36_51:0.01031574465022761","36_32:561.7777777777777;36_51:561.7777777777777","true"
"37","407.4968405957736","210.72893864198647","4.497679528633987","0","0.013500000000000068","0.0142","0.012800000000000034","1244.4444444444443","0.002836517104645298","0","0.002836517104645298","0.002836517104645298","37_38:0.018010611543796573;37_52:0.018594264950024947","37_38:561.7777777777777;37_52:561.7777777777777","true"
"38","337.83025873744964","319.6299764940106","4.475497669407699","-0.33539586706236296","0.01419999999999999","0.021199999999999997","0.0072","1244.4444444444443","0.0018839061298122576","0","0.0018839061298122576","0.0018839061298122576","","","true"
"39","474.01587881966","60.26328428414993","4.504427262577869","-0.31295465019890567","0.0036000000000000476","0.0046000000000000485","0.0026","1244.4444444444443","0.0010242692304289088","0","0.0010242692304289088","0.0010242692304289088","39_38:0.02598768080683414","39_38:561.7777777777777","true"
"40","419.4356348045505","32.77139164871832","4.4643457889765505","-0.33809284738007156","0.006900000000000017","0.009800000000000031","0.004","1244.4444444444443","0.00025256461181658957","0","0.00025256461181658957","0.00025256461181658957","40_39:0.013880075684384763;40_41:0.013337516829863116","40_39:561.7777777777777;40_41:561.7777777777777","true"
"41","237.78662572992565","170.86319451096048","4.575900153747186","-0.3452224783858925","0.0032000000000000917","0.0046000000000000485","0.0018","1244.4444444444443","0.0002763722668310046","0","0.0002763722668310046","0.0002763722668310046","","","true"
"42","258.0018797831463","89.56820786954093","4.641372105029433","-0.33193206992602775","0.0023999999999999577","0.0036000000000000476","0.0012","1244.4444444444443","0.00013445685605823762","0","0.00013445685605823762","0.00013445685605823762","42_41:0.00914539623330618;42_43:0.00803740082405785","42_41:561.7777777777777;42_43:561.7777777777777","true"
"43","476.72969861315585","258.0003254149442","4.523119230874208","-0.3218076034687584","0.0040999999999999925","0.007000000000000006","0.0012","1244.4444444444443","0.0002074739526922418","0","0.0002074739526922418","0.0002074739526922418","43_34:0.009426415275151756","43_34:561.7777777777777","true"
"44","356.5453144591367","239.21719598325313","4.594589602796295","-0.2725547830259511","0.0512999999999999","0.047799999999999954","0.0548","1244.4444444444443","0.00030803775555840674","0","0.00030803775555840674","0.00030803775555840674","44_43:0.015118438563076264","44_43:561.7777777777777","true"
"45","282.11542839950687","104.3090365286412","4.6304497578710295","-0.31121477664524183","0.0022999999999999687","0.0040000000000000036","0.0006","1244.4444444444443","0.0002533802726508507","0","0.0002533802726508507","0.0002533802726508507","45_44:0.009300959126842201;45_46:0.017889315503000602","45_44:561.7777777777777;45_46:561.7777777777777","true"
"46","192.2132071729819","56.0437672875231","4.710116974947738","-0.31051099269051724","0.0041999999999999815","0.005600000000000049","0.0028","1244.4444444444443","0.0007393331986863699","0","0.0007393331986863699","0.0007393331986863699","46_47:0.019237081267308775","46_47:561.7777777777777","true"
"47","368.3975149599017","113.85021292757567","4.680673452291549","-0.2791698234955903","0.02069999999999994","0.026000000000000023","0.0154","1244.4444444444443","0.0014765564548647747","0","0.0014765564548647747","0.0014765564548647747","","","true"
"48","252.88860801541324","84.04423764810562","4.625120660712564","-0.31121814662509445","0.0040000000000000036","0.007199999999999984","0.0008","1244.4444444444443","0.0001764716166198282","0","0.0001764716166198282","0.0001764716166198282","48_49:0.00582817139965347;48_47:0.016842079449637504","48_49:561.7777777777777;48_47:561.7777777777777","true"
"49","259.95856807040417","88.11436275804574","4.5819464035519655","-0.35202725215057706","0.012399999999999967","0.013800000000000034","0.011","1244.4444444444443","0.0002067859967093024","0","0.0002067859967093024","0.0002067859967093024","","","true"
"50","411.2086677663558","127.1910922567451","4.457759492575294","-0.3137510834931671","0.0047999999999999154","0.0042","0.00539999999999996","1244.4444444444443","0.00015060970372913704","0","0.00015060970372913704","0.00015060970372913704","50_51:0.00918228498531476;50_49:0.010398879797130722","50_51:561.7777777777777;50_49:561.7777777777777","true"
"51","273.91929183578355","64.80961674136188","4.565375997436525","-0.2968087163341602","0.06869999999999998","0.0696","0.0678","1244.4444444444443","0.0006611491463124776","0","0.0006611491463124776","0.0006611491463124776","","","true"
"52","234.22988512901208","33.1068349868782","4.444510749515728","-0.2854962354743173","0.14939999999999998","0.134","0.16479999999999995","1244.4444444444443","0.0007041292640603746","0","0.0007041292640603746","0.0007041292640603746","","","true"
"53","416.0144209568556","437.9786774492316","4.621993231837761","-0.3089157779566661","0.005199999999999982","0.006000000000000005","0.0044","1244.4444444444443","0.00011763195902709519","0","0.00011763195902709519","0.00011763195902709519","53_60:0.004437032958695769;53_41:0.005935753574259822","53_60:561.7777777777777;53_41:561.7777777777777","true"
"54","305.2657361338057","20.19047629189663","4.501324053634322","-0.31299719319013514","0.0036000000000000476","0.0048","0.0023999999999999577","1244.4444444444443","0.00032467830672053933","0","0.00032467830672053933","0.00032467830672053933","54_45:0.012775958523036923;54_64:0.011835936778129635","54_45:561.7777777777777;54_64:561.7777777777777","true"
"55","297.49118150206294","40.19335708408013","4.686304341609322","-0.3100668699291798","0.0043999999999999595","0.0050000000000000044","0.0038","1244.4444444444443","0.00018884008174648573","0","0.00018884008174648573","0.00018884008174648573","55_49:0.010000792284756033","55_49:561.7777777777777","true"
"56","309.0485965549178","281.48858439951175","4.5537144831731275","0","0.011099999999999999","0.0194","0.0028000000000000247","1244.4444444444443","0.0007038141934512149","0","0.0007038141934512149","0.0007038141934512149","56_52:0.014847694128833189","56_52:561.7777777777777","true"
"57","346.40986660136963","42.73306825412399","4.639623331481694","-0.3110258364070089","0.0026999999999999247","0.0040000000000000036","0.0014","1244.4444444444443","0.0004963160801169661","0","0.0004963160801169661","0.0004963160801169661","57_58:0.027305071000310155;57_56:0.026718388798986442","57_58:561.7777777777777;57_56:561.7777777777777","true"
"58","180.93039488759857","12.702228121630732","4.609485934420083","-0.3120232272887944","0.01079999999999992","0.0164","0.005199999999999982","1244.4444444444443","0.0008033236869313739","0","0.0008033236869313739","0.0008033236869313739","58_59:0.021993158969318777;58_71:0.021864211981976328","58_59:561.7777777777777;58_71:561.7777777777777","true"
"59","362.33420121707724","87.91026925879432","4.7699901506020215","-0.3055632788590134","0.0039000000000000146","0.006800000000000028","0.001","1244.4444444444443","0.0001918311919124477","0","0.0001918311919124477","0.0001918311919124477","59_60:0.01835615510665098","59_60:561.7777777777777","true"
"60","330.02255108239655","538.4849951511923","4.517591557859789","-0.3130252570847025","0.005299999999999971","0.0052","0.00539999999999996","1244.4444444444443","0.00010060558625917774","0","0.00010060558625917774","0.00010060558625917774","60_61:0.008463305236399793","60_61:561.7777777777777","true"
"61","354.4980007169104","136.25614398670115","4.689244969820641","0","0.009700000000000042","0.010600000000000054","0.0088","1244.4444444444443","0.00017700777417532692","0","0.00017700777417532692","0.00017700777417532692","61_62:0.011930920725298805","61_62:561.7777777777777","true"
"62","205.6298481875397","29.581894976169547","4.647058868146426","-0.2863049460361145","0.021100000000000008","0.02100000000000002","0.0212","1244.4444444444443","0.0009064585220691088","0","0.0009064585220691088","0.0009064585220691088","","","true"
"63","296.9665764647908","157.3051991658311","4.507487074064511","-0.32264290979581867","0.0030999999999999917","0.0043999999999999595","0.0018","1244.4444444444443","0.0006614666223819645","0","0.0006614666223819645","0.0006614666223819645","63_62:0.012811308293420115;63_64:0.005439942506395734","63_62:561.7777777777777;63_64:561.7777777777777","true"
"64","251.48199875233655","39.33185582842368","4.463142105642391","0","0.033203125","0.01171875","0.0546875","1244.4444444444443","0.0002218656810699647","0","0.0002218656810699647","0.0002218656810699647","64_65:0.017552530642542613","64_65:561.7777777777777","true"
"65","101.12059652813728","337.67204804434135","4.615236866569672","-0.31101251617313946","0.1181640625","0.18359375","0.052734375","1244.4444444444443","0.00038300659653451013","0","0.00038300659653451013","0.00038300659653451013","","","true"
"66","332.389735219629","105.96450484106374","4.650586332409432","-0.29034076699160294","0.019299999999999984","0.0226","0.016000000000000014","1244.4444444444443","0.001776152536425647","0","0.001776152536425647","0.001776152536425647","66_65:0.03102108192060435;66_67:0.019202447013326962","66_65:561.7777777777777;66_67:561.7777777777777","true"
"67","158.89820613316303","70.97070125333077","4.714536987511346","-0.3101140892003641","0.006699999999999928","0.008000000000000007","0.0054","1244.4444444444443","0.00022223577737307134","0","0.00022223577737307134","0.00022223577737307134","67_68:0.019088564511791972","67_68:561.7777777777777","true"
"68","232.02740587401595","57.38266886550894","4.6127606178786955","-0.31130677970698856","0.0121","0.0126","0.011600000000000055","1244.4444444444443","0.00038852130098040343","0","0.00038852130098040343","0.00038852130098040343","68_69:0.009174077772512751;68_55:0.007898838276063191","68_69:561.7777777777777;68_55:561.7777777777777","true"
"69","176.31563676548907","98.07279189460014","4.551433668091735","-0.31213146441791095","0.0031999999999999806","0.006000000000000005","0.0004","1244.4444444444443","0.00041322499332783287","0","0.00041322499332783287","0.00041322499332783287","69_70:0.008700401306744349","69_70:561.7777777777777","true"
"70","337.4359889814668","92.90236089553429","4.711913555470043","-0.30937241746400446","0.0024999999999999467","0.0028000000000000247","0.0022","1244.4444444444443","0.0002000236610751309","0","0.0002000236610751309","0.0002000236610751309","70_74:0.008071762391191395","70_74:561.7777777777777","true"
"71","340.1045695779681","58.357875786729586","4.5460330671949905","-0.30894805896719","0.019399999999999973","0.01319999999999999","0.0256","1244.4444444444443","0.0005993949000033567","0","0.0005993949000033567","0.0005993949000033567","","","true"
"72","272.2914139515432","328.4592938913061","4.5766064164578575","-0.31191901483735823","0.0019000000000000128","0.0026000000000000467","0.0012","1244.4444444444443","0.00013278657199562995","0","0.00013278657199562995","0.00013278657199562995","72_62:0.012075012241975297;72_81:0.007407637040831194","72_62:561.7777777777777;72_81:561.7777777777777","true"
"73","262.1784119292637","123.12071316555901","4.8220912078338305","-0.3060243215183466","0.005800000000000027","0.005600000000000049","0.006","1244.4444444444443","0.0001455545087620193","0","0.0001455545087620193","0.0001455545087620193","73_66:0.04357412472051461;73_85:0.012091433134889973","73_66:561.7777777777777;73_85:561.7777777777777","true"
"74","246.49002766632086","245.6195383987854","4.609666111431789","-0.31109191615982995","0.04259999999999997","0.05259999999999998","0.0326","1244.4444444444443","0.00015044898280496967","0","0.00015044898280496967","0.00015044898280496967","","","true"
"75","240.80919052065042","197.45541928573442","4.7874290248227345","-0.27824835792971114","0.0036000000000000476","0.0058","0.0013999999999999568","1244.4444444444443","0.00012423344500196143","0","0.00012423344500196143","0.00012423344500196143","75_76:0.008627021503168936;75_90:0.014293599043444905","75_76:561.7777777777777;75_90:561.7777777777777","true"
"76","326.4003193482113","75.8910198858123","4.6833472201776205","-0.31055697195489596","0.00880000000000003","0.013000000000000012","0.0046","1244.4444444444443","0.0005028396715616456","0","0.0005028396715616456","0.0005028396715616456","76_77:0.011932747292376283","76_77:561.7777777777777","true"
"77","379.4499150294342","325.4600576411222","4.576651217796998","-0.313094932281466","0.03920000000000001","0.0404","0.038000000000000034","1244.4444444444443","0.0005775501237059694","0","0.0005775501237059694","0.0005775501237059694","77_78:0.01711690045469952;77_71:0.015616532997610122","77_78:561.7777777777777;77_71:561.7777777777777","true"
"78","458.1765192631947","348.5789016231787","4.4834528991468","-0.3136874752686043","0.0024999999999999467","0.0041999999999999815","0.0008","1244.4444444444443","0.00017966115489741275","0","0.00017966115489741275","0.00017966115489741275","","","true"
"79","322.7356373669702","84.92465612272463","4.5707014594823585","-0.29525409443808415","0.028100000000000014","0.025399999999999978","0.0308","1244.4444444444443","0.0005985640025442052","0","0.0005985640025442052","0.0005985640025442052","79_78:0.010267195817562857","79_78:561.7777777777777","true"
"80","18.61574568094632","27.165683649110445","4.600470242444876","0","0.18700000000000006","0.25160000000000005","0.1224","1244.4444444444443","0.013612931257726614","0","0.013612931257726614","0.013612931257726614","80_81:0.06956865606314994;80_79:0.05715116563847086","80_81:561.7777777777777;80_79:561.7777777777777","true"
"81","176.7333838637813","91.50649561387675","4.498651721743138","-0.31468638313879793","0.009500000000000064","0.017000000000000015","0.002","1244.4444444444443","0.0005733008422771221","0","0.0005733008422771221","0.0005733008422771221","","","true"
"82","17.5089778236619","131.33439958454252","4.602403818592316","-0.31724266528169737","0.006000000000000005","0.011199999999999988","0.0008","1244.4444444444443","0.0008474623848230549","0","0.0008474623848230549","0.0008474623848230549","82_83:0.011969791647092554;82_81:0.01199763903410997","82_83:561.7777777777777;82_81:561.7777777777777","true"
"83","157.94945593048598","68.58058619357871","4.636303062608273","-0.3103580553605243","0.012599999999999945","0.0156","0.009600000000000053","1244.4444444444443","0.0003813924864495809","0","0.0003813924864495809","0.0003813924864495809","","","true"
