"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","507.5096343951091","141.65592082053107","4.635662846425661","-0.3132760394092362","0.007400000000000073","0.0088","0.006000000000000005","1216","0.0004155881786328454","0","0.0004155881786328454","0.0004155881786328454","","","true"
"1","348.8938903822425","274.7269343788423","4.736296869971339","-0.3129180725120383","0.021400000000000086","0.022800000000000042","0.02","1216","0.0001885659096728758","0","0.0001885659096728758","0.0001885659096728758","1_2:0.0054347983531215505;1_0:0.01022643860082334","1_2:533.3333333333333;1_0:533.3333333333333","true"
"2","233.0925634827327","172.99036869460838","4.819178499281037","-0.3112951524093254","0.01629999999999998","0.01200000000000001","0.0206","1216","0.00014985539439309322","0","0.00014985539439309322","0.00014985539439309322","","","true"
"3","187.0684468387846","111.32575510572732","4.747182082348841","-0.3111534699659636","0.015700000000000047","0.0148","0.016599999999999948","1216","0.0003946294255925489","0","0.0003946294255925489","0.0003946294255925489","3_2:0.005508897816641989","3_2:533.3333333333333","true"
"4","207.28081775901657","146.1163200555966","4.787874618691494","-0.31094540176555985","0.016799999999999926","0.01100000000000001","0.0226","1216","0.00020651129181290692","0","0.00020651129181290692","0.00020651129181290692","4_3:0.005763369998846052;4_15:0.004080882023366927","4_3:533.3333333333333;4_15:533.3333333333333","true"
"5","204.64695999792022","131.7363292594492","4.850837438806149","-0.31056606217183785","0.04800000000000004","0.013800000000000034","0.0822","1216","0.0002624020064645936","0","0.0002624020064645936","0.0002624020064645936","5_4:0.0059011837708801695","5_4:533.3333333333333","true"
"6","269.3961984125973","43.43873979761708","4.8995542684000535","-0.3090557835234433","0.05300000000000005","0.03080000000000005","0.0752","1216","0.00016825335822375677","0","0.00016825335822375677","0.00016825335822375677","6_5:0.00656304156785939","6_5:533.3333333333333","true"
"7","190.0718903119981","20.7680834034327","4.755796861500931","-0.31100390518358323","0.015700000000000047","0.014399999999999968","0.017","1216","0.0006221077894635963","0","0.0006221077894635963","0.0006221077894635963","7_6:0.011262016197710223;7_8:0.01293825735834167","7_6:533.3333333333333;7_8:533.3333333333333","true"
"8","249.03196386510152","19.546156914355155","4.812595340291288","-0.31334511346081884","0.06830000000000003","0.08020000000000005","0.0564","1216","0.0005000280928478885","0","0.0005000280928478885","0.0005000280928478885","8_9:0.008390023416264575","8_9:533.3333333333333","true"
"9","425.2649510946679","69.84419671660588","4.638198814237326","-0.29264088813258476","0.137","0.14459999999999995","0.1294","1216","0.0002150942598083046","0","0.0002150942598083046","0.0002150942598083046","","","true"
"10","253.40245402331033","199.4517924239974","4.804388478637297","-0.31122742580861","0.008000000000000007","0.009000000000000008","0.007","1216","0.00023219027788015005","0","0.00023219027788015005","0.00023219027788015005","10_11:0.005514162975011144;10_9:0.006914772757356663","10_11:533.3333333333333;10_9:533.3333333333333","true"
"11","264.74530860783346","89.74483608075887","4.743312140873306","-0.31179417408967897","0.007199999999999984","0.0084","0.006000000000000005","1216","0.00014233071173931609","0","0.00014233071173931609","0.00014233071173931609","11_12:0.004351898434041185","11_12:533.3333333333333","true"
"12","384.4638504846803","337.6286917229538","4.6259367630497845","-0.31372359565205904","0.02190000000000003","0.025800000000000045","0.018","1216","0.0001897536209147445","0","0.0001897536209147445","0.0001897536209147445","12_13:0.011481779737544856","12_13:533.3333333333333","true"
