"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","174.27261459723414","55.51744280107491","4.721908316964448","-0.31197865973435573","0.024899999999999922","0.0234","0.02639999999999998","1300","0.0002540492538047221","0","0.0002540492538047221","0.0002540492538047221","","","true"
"1","279.41883244161374","236.2371666896539","4.81513590032656","-0.3097440319777085","0.04259999999999997","0.043399999999999994","0.0418","1300","0.00021664777633449519","0","0.00021664777633449519","0.00021664777633449519","1_0:0.004590765510960354","1_0:660","true"
"2","186.12639768885563","231.57778497944327","4.609655107492074","-0.3090875180776862","0.009100000000000108","0.011600000000000055","0.0066","1300","0.0001951272123741718","0","0.0001951272123741718","0.0001951272123741718","2_1:0.004175297566167219","2_1:660","true"
"3","284.26962401691526","253.32363577197304","4.875545985705616","-0.30968652168552707","0.031400000000000095","0.015800000000000036","0.047","1300","0.00009327985216299289","0","0.00009327985216299289","0.00009327985216299289","3_2:0.0076534311361528","3_2:660","true"
"4","328.78363760001423","223.25256619792785","4.818175808974537","-0.3103713081153928","0.014399999999999968","0.01319999999999999","0.0156","1300","0.00011897707341519714","0","0.00011897707341519714","0.00011897707341519714","4_15:0.007511641437060901;4_3:0.005955823957846773;4_5:0.0027630306186566533","4_15:660;4_3:660;4_5:660","true"
"5","254.50851173018597","333.55681236492615","4.7341447892979165","-0.3114518235315779","0.00550000000000006","0.005800000000000027","0.0052","1300","0.0001783425917452106","0","0.0001783425917452106","0.0001783425917452106","","","true"
"6","350.6565350804098","66.83271889044545","4.876275766278119","-0.30918835047116894","0.012699999999999934","0.0172","0.008199999999999985","1300","0.0001782653899292163","0","0.0001782653899292163","0.0001782653899292163","6_7:0.004783603108743761;6_5:0.004056568341838235","6_7:660;6_5:660","true"
"7","314.09357082360253","256.63947969308094","4.967524822898377","-0.30745739300983294","0.021100000000000008","0.0252","0.017","1300","0.00027250297114998317","0","0.00027250297114998317","0.00027250297114998317","7_8:0.008094672644754164","7_8:660","true"
"8","358.1473837092654","232.45353185977163","4.902345248208107","-0.30837827664687645","0.006399999999999961","0.0056","0.007199999999999984","1300","0.00015928609044353566","0","0.00015928609044353566","0.00015928609044353566","8_9:0.006934242907873783","8_9:660","true"
"9","292.2123390292757","194.39992099775625","4.987235069122292","-0.3080310587566364","0.008000000000000007","0.009600000000000053","0.0064","1300","0.00018882862136403115","0","0.00018882862136403115","0.00018882862136403115","","","true"
"10","220.92713634487714","314.3942527650502","4.831534448410197","-0.3097434424405673","0.01639999999999997","0.0156","0.017199999999999993","1300","0.00016751954268607873","0","0.00016751954268607873","0.00016751954268607873","10_11:0.006270791410178944;10_9:0.004875481225850603","10_11:660;10_9:660","true"
"11","222.38929431994697","192.88734279733896","4.972305689737398","-0.307214316560019","0.13949999999999996","0.1428","0.1362","1300","0.0003099183176609132","0","0.0003099183176609132","0.0003099183176609132","11_12:0.02544000690866169","11_12:660","true"
"12","352.55658210513445","192.60356452117202","4.936319107472835","-0.3079608272575031","0.016599999999999948","0.014599999999999946","0.0186","1300","0.0009174921392447967","0","0.0009174921392447967","0.0009174921392447967","12_17:0.04390944789231241","12_17:660","true"
"13","312.29918472315285","109.60245910279833","5.005809502119509","-0.3067650398842775","0.012299999999999978","0.011","0.013599999999999945","1300","0.0001997012431226911","0","0.0001997012431226911","0.0001997012431226911","13_12:0.020631344037748578","13_12:660","true"
"14","132.70877698951196","49.54131244442166","4.903344760967439","-0.308419961199297","0.015700000000000047","0.0186","0.012800000000000034","1300","0.00039394701334593884","0","0.00039394701334593884","0.00039394701334593884","14_0:0.013054191940885335;14_18:0.01140466614826463","14_0:660;14_18:660","true"
"15","209.5537803613424","54.3256887452073","4.947914953560998","-0.308052427832017","0.017400000000000082","0.016","0.01880000000000004","1300","0.00020698042654101188","0","0.00020698042654101188","0.00020698042654101188","15_22:0.005796078560368956","15_22:660","true"
"16","92.01503980345748","16.723977838166476","4.9603281019871295","-0.3076594514774509","0.020100000000000007","0.018399999999999972","0.0218","1300","0.0005154021860292506","0","0.0005154021860292506","0.0005154021860292506","16_26:0.010268441075230728;16_8:0.006817988885327003","16_26:660;16_8:660","true"
"17","328.3345824543354","316.79071484290745","4.820823460371974","-0.30970435909943395","0.011400000000000077","0.013000000000000012","0.0098","1300","0.002221578772507888","0","0.002221578772507888","0.002221578772507888","17_30:0.046122192948424096","17_30:660","true"
"18","268.2890980580786","95.1277730383657","4.788139278987067","-0.31063598977187784","0.09850000000000003","0.09940000000000004","0.0976","1300","0.00018602979238691356","0","0.00018602979238691356","0.00018602979238691356","18_19:0.007151547327423291","18_19:660","true"
"19","300.1129916156941","99.36402914226896","4.7469924322616","-0.31072395279331844","0.08460000000000001","0.08560000000000001","0.0836","1300","0.00016013831338610316","0","0.00016013831338610316","0.00016013831338610316","","","true"
"20","238.1986122697565","235.1361152374962","4.862313786651259","-0.3090978906556921","0.01770000000000005","0.0152","0.020199999999999996","1300","0.00018198468498490115","0","0.00018198468498490115","0.00018198468498490115","20_33:0.039766696963147136;20_19:0.008506237844038672","20_33:660;20_19:660","true"
"21","301.40629148185417","175.33038487092185","4.9664950331928335","-0.30694839478531033","0.007500000000000062","0.006399999999999961","0.0086","1300","0.00013618958379711617","0","0.00013618958379711617","0.00013618958379711617","21_20:0.004681867481374169;21_22:0.006637046367626381","21_20:660;21_22:660","true"
"22","197.9687427832315","168.67359131911465","5.038197876457438","-0.3065535436677073","0.015000000000000013","0.017000000000000015","0.013","1300","0.00022222127044487183","0","0.00022222127044487183","0.00022222127044487183","22_23:0.0063622017611978665","22_23:660","true"
"23","301.5829728986208","214.92677204780165","4.844974504703859","-0.309395699354676","0.023600000000000065","0.0352","0.01200000000000001","1300","0.00024380343447550392","0","0.00024380343447550392","0.00024380343447550392","","","true"
"24","182.19420814166102","150.47144127852533","5.100790397005483","-0.3054983979252499","0.12719999999999998","0.0282","0.22619999999999996","1300","0.00026891581368907087","0","0.00026891581368907087","0.00026891581368907087","24_34:0.00540291491564851;24_23:0.005107583051048525","24_34:860;24_23:660","true"
